condition,status,injected_doc,scheduled_events,fired_round,fired_round_index,posts,comments,traces,argentina_mentions,colombia_mentions,messi_mentions,james_mentions,football_noise_mentions,artifacts
v2-baseline-control,completed,none,0,,,4,0,11,4,2,0,6,0,runs/s2_issue19_deepinfra/gemma/v2-baseline-control-12
v2-signal-strong-mid,completed,signal-strong,1,6,5,5,2,17,16,7,2,10,0,runs/s2_issue19_deepinfra/gemma/v2-signal-strong-mid-12
v2-signal-weak-mid,completed,signal-weak,1,6,5,6,0,14,13,6,0,8,0,runs/s2_issue19_deepinfra/gemma/v2-signal-weak-mid-12
v2-counter-colombia-mid,completed,counter-colombia,1,6,5,6,0,12,7,12,0,13,0,runs/s2_issue19_deepinfra/gemma/v2-counter-colombia-mid-12
v2-noise-near-mid,completed,noise-near,1,6,5,6,0,14,8,5,1,8,6,runs/s2_issue19_deepinfra/gemma/v2-noise-near-mid-12
v2-noise-off-mid,completed,noise-off,1,6,5,5,0,13,6,4,0,6,4,runs/s2_issue19_deepinfra/gemma/v2-noise-off-mid-12
