condition,status,injected_doc,scheduled_events,fired_round,fired_round_index,posts,comments,traces,argentina_mentions,colombia_mentions,messi_mentions,james_mentions,football_noise_mentions,artifacts
v2-baseline-control,completed,none,0,,,4,3,14,7,5,0,12,0,runs/s2_issue19_v2/v2-baseline-control-12
v2-signal-strong-mid,completed,signal-strong,1,6,5,6,0,13,15,7,2,8,0,runs/s2_issue19_v2/v2-signal-strong-mid-12
v2-signal-weak-mid,completed,signal-weak,1,6,5,5,1,13,14,7,0,8,0,runs/s2_issue19_v2/v2-signal-weak-mid-12
v2-counter-colombia-mid,completed,counter-colombia,1,6,5,5,2,17,8,13,1,12,0,runs/s2_issue19_v2/v2-counter-colombia-mid-12
v2-noise-near-mid,completed,noise-near,1,6,5,5,4,17,10,7,2,14,6,runs/s2_issue19_v2/v2-noise-near-mid-12
v2-noise-off-mid,completed,noise-off,1,6,5,5,2,13,8,4,0,10,4,runs/s2_issue19_v2/v2-noise-off-mid-12
