party,votes,national_percentage
MOVIMIENTO INDEPENDIENTE RENOVADOR,3977,0.017308
FRENTE FEDERAL DE ACCIÓN SOLIDARIA,3866,0.016825
TRANSFORMACIÓN LIBERTARIA,3308,0.014396
PARTIDO DE LA CONCERTACIÓN FORJA,3308,0.014396
MOVIMIENTO PLURAL,3267,0.014218
PARTIDO SOCIALISTA AUTÉNTICO,3264,0.014205
IDEAS DE LA LIBERTAD,3264,0.014205
PRINCIPIOS Y CONVICCIÓN,3253,0.014157
PARTIDO COMUNISTA,3000,0.013056
LAS FUERZAS DEL CENTRO,2806,0.012212
PARTIDO POLO SOCIAL - MOVIMIENTO DE BASES,2257,0.009822
PARTIDO FRENTE GRANDE,857,0.003730
