condition,status,injected_doc,scheduled_events,fired_round,fired_round_index,posts,comments,traces,argentina_mentions,colombia_mentions,messi_mentions,james_mentions,football_noise_mentions,artifacts
baseline,completed,none,0,,,6,16,48,19,19,1,25,0,runs/s2_issue19/existing-baseline-40
signal-early,completed,signal,1,4,3,5,15,55,23,15,10,24,0,runs/s2_issue19/existing-signal-early-40-rerun
signal-mid,completed,signal,1,20,19,5,18,47,33,26,4,26,0,runs/s2_issue19/existing-signal-mid-40
signal-late,completed,signal,1,36,35,7,17,53,28,20,6,29,0,runs/s2_issue19/existing-signal-late-40
noise-early,completed,noise,1,4,3,9,15,47,26,26,4,32,12,runs/s2_issue19/existing-noise-early-40
noise-mid,completed,noise,1,20,19,6,15,56,25,21,0,23,12,runs/s2_issue19/existing-noise-mid-40
noise-late,completed,noise,1,36,35,7,17,51,32,21,4,29,12,runs/s2_issue19/existing-noise-late-40
