committable_dir,current_round,density,error,line,mae_vote_share,margin_abs_error,max_score,model_key,parse_errors,predicted_margin,prediction,raw_output_dir,rounds,runner_status,score,status,topic,total_rounds,variant_id,winner_score
backtesting\final-multimodel\evaluation\line5_bolivia\gemma\gemma_T3_slim_R10_D2,10,2,,line5_bolivia,6.353,16.06,,gemma,0,-7.0,quiroga_gana,backtesting\case-b-s2-bolivia-2025-runoff\..\..\runs\final_multimodel\raw_line5\bolivia\gemma\gemma_T3_slim_R10_D2,10,completed,0,completed,bolivia,10,gemma_T3_slim_R10_D2,0
backtesting\final-multimodel\evaluation\line5_bolivia\gemma\gemma_T3_slim_R80_D2,80,2,,line5_bolivia,,,,gemma,2,,quiroga_gana,backtesting\case-b-s2-bolivia-2025-runoff\..\..\runs\final_multimodel\raw_line5\bolivia\gemma\gemma_T3_slim_R80_D2,80,completed,0,completed,bolivia,80,gemma_T3_slim_R80_D2,0
backtesting\final-multimodel\evaluation\line5_bolivia\qwen\qwen_T3_slim_R10_D2,10,2,,line5_bolivia,9.687,21.06,,qwen,0,-12.0,quiroga_gana,backtesting\case-b-s2-bolivia-2025-runoff\..\..\runs\final_multimodel\raw_line5\bolivia\qwen\qwen_T3_slim_R10_D2,10,completed,0,completed,bolivia,10,qwen_T3_slim_R10_D2,0
backtesting\final-multimodel\evaluation\line5_bolivia\qwen\qwen_T3_slim_R80_D2,72,2,,line5_bolivia,13.02,29.06,,qwen,0,-20.0,quiroga_gana,backtesting\case-b-s2-bolivia-2025-runoff\..\..\runs\final_multimodel\raw_line5\bolivia\qwen\qwen_T3_slim_R80_D2,80,completed,0,completed,bolivia,72,qwen_T3_slim_R80_D2,0
